"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Seager, Corey","608369","2023","536","33",16.4,9.1,38,15.2,53.2,"103.543493485","96.785948962",25,55.1
"Ruiz, Keibert","660688","2023","562","18",10.3,5.5,39.4,5.8,31.9,"97.263733176","92.681495075",14.3,51.1
"Castellanos, Nick","592206","2023","671","29",27.6,5.4,36.5,10.3,43.2,"100.3894813","94.419143027",35.4,56.2
"Báez, Javier","595879","2023","547","9",22.9,4.4,28.9,5.2,39.7,"100.19637776","94.157773958",32.6,54.8
"Volpe, Anthony","683011","2023","601","21",27.8,8.7,35.5,9,43,"99.54617672","93.954577957",28.1,47.9
"Kim, Ha-Seong","673490","2023","626","17",19.8,12,36.1,4.2,26.7,"96.561670433","92.283861587",17.7,38.9
"Contreras, William","661388","2023","611","17",20.6,10.3,27.1,9.4,48.7,"103.241329369","96.097846496",28,43.2
"Tovar, Ezequiel","678662","2023","615","15",27,4.1,36.4,8.1,36.2,"99.019446394","93.628807036",31.3,59.7
"Abrams, CJ","682928","2023","614","18",19.2,5.2,32.6,6.9,35.9,"98.814933243","93.426357297",22.3,53.5
"Merrifield, Whit","593160","2023","592","11",17.1,6.1,37.2,2.4,24.3,"94.880835796","91.453019024",19.5,51.1
"Marte, Ketel","606466","2023","650","25",16.8,10.9,30.8,8,42.8,"101.585403319","95.10445528",20.5,45.5
"Suárez, Eugenio","553993","2023","694","22",30.8,10.1,37.7,13.2,43,"100.661115455","94.726665316",32.8,44.5
"Guerrero Jr., Vladimir","665489","2023","682","26",14.7,9.8,32.4,11.1,49.2,"104.050992964","96.528144743",23,50.6
"Rosario, Eddie","592696","2023","516","21",23.6,6.6,35.9,9.5,35.4,"98.60055257","93.424315434",29.7,57.4
"Lindor, Francisco","596019","2023","687","31",19.9,9.6,35.8,10.4,43.9,"100.821281314","94.916417775",22.8,48
"Goldschmidt, Paul","502671","2023","687","25",23.4,12.7,35.6,12,50.8,"102.40959555","95.767792759",27.5,44
"Nimmo, Brandon","607043","2023","682","24",21.4,10.9,33.5,9.5,47.9,"101.50757","95.462726837",22,42.4
"Anderson, Tim","641313","2023","524","1",23.3,5,32.4,2.9,39.4,"99.22965129","93.713640376",25.3,53.5
"Lowe, Nathaniel","663993","2023","724","17",22.8,12.8,36.7,6.5,41.6,"101.145951991","94.820277484",20.6,43.8
"McNeil, Jeff","643446","2023","648","10",10,6,32.1,1.3,27.4,"95.984354131","92.004150754",13.4,53
"Bohm, Alec","664761","2023","611","20",15.4,6.9,35.1,5.7,41.7,"100.435445021","94.400147213",18.1,49.8
"Ohtani, Shohei","660271","2023","599","44",23.9,15.2,35.6,19.6,54.2,"105.748559101","97.769057809",32.3,48.2
"Bogaerts, Xander","593428","2023","665","19",16.5,8.4,28.3,6.1,34.6,"98.476149796","93.284202061",20.4,42.6
"Hays, Austin","669720","2023","566","16",24.9,6.7,31,8.9,40.1,"100.462787656","94.411352037",28.3,46.6
"Betts, Mookie","605141","2023","693","39",15.4,13.9,42.5,12.4,48.5,"100.865674689","95.28290971",16.7,38.1
"Albies, Ozzie","645277","2023","660","33",16.2,7,37.4,8.2,39,"98.667615565","93.481568303",20.6,54.6
"Muncy, Max","571970","2023","579","36",26.4,14.7,33.7,14.6,46.6,"101.315308623","95.11269018",29.6,39.3
"Cronenworth, Jake","630105","2023","522","10",18.6,8.8,35.7,4.4,33.2,"97.73147257","92.917093417",15.9,47.6
"Steer, Spencer","668715","2023","665","23",20.9,10.2,35.3,6.7,37.1,"99.167567432","93.741896795",24.1,43.8
"Taveras, Leody","665750","2023","554","14",21.1,6.3,35.2,7.2,43.1,"100.592817638","94.514120854",24.2,49.4
"Freeman, Freddie","518692","2023","730","29",16.6,9.9,46.6,11.1,42.2,"100.590638269","94.617661541",20.4,51
"Raleigh, Cal","663728","2023","569","30",27.8,9.5,36.5,12.6,41,"101.028271404","94.749354873",29.9,49.7
"Realmuto, J.T.","592663","2023","540","20",25.6,6.5,36.2,11.2,43.3,"101.30139764","94.961935393",26.2,50.5
"Rooker Jr., Brent","667670","2023","526","30",32.7,9.3,37.3,15.6,49.5,"102.653891351","95.962225864",38.2,46.1
"Rutschman, Adley","668939","2023","687","20",14.7,13.4,37,7.5,38.6,"99.614450772","93.937278476",15.6,41
"Smith, Will","669257","2023","554","19",16.1,11.4,37.5,6.7,41.6,"99.645654456","94.001340492",19.5,45.7
"France, Ty","664034","2023","665","12",17.6,6.5,36.9,6.8,38.6,"99.277871319","93.765945224",21.9,53.2
"Hernández, Enrique","571771","2023","508","11",19.1,6.7,31,4.5,33.7,"97.831208503","92.980265241",23.6,46.7
"Perez, Salvador","521692","2023","580","23",23.3,3.3,38,8.8,44,"101.357412537","94.955683293",30.2,60.2
"Rodríguez, Julio","677594","2023","714","32",24.5,6.6,31.8,11.9,52,"104.082287708","96.812366417",28.2,53.9
"Vierling, Matt","663837","2023","530","10",21.1,8.3,32.2,4.6,42.8,"100.577331105","94.490701519",19.3,44.3
"Peña, Jeremy","665161","2023","634","10",20.3,6.8,32.4,4,35.8,"99.143524796","93.690137489",28.3,53.2
"Wade Jr., LaMonte","664774","2023","519","17",18.3,14.6,33.6,9.1,39.8,"99.530093174","93.945744444",20.7,39.5
"Riley, Austin","663586","2023","715","37",24.1,8.3,35.2,13.9,49.2,"103.384251814","96.274145591",27.8,48.2
"Kwan, Steven","680757","2023","718","5",10.4,9.7,37.7,1.1,18.8,"94.063409324","91.031738203",11.1,41.2
"Tatis Jr., Fernando","665487","2023","635","25",22.2,8.3,31.5,11,49.3,"102.94128633","96.024566651",30.5,54.1
"Grisham, Trent","663757","2023","555","13",27.7,13.5,32.8,11.9,40,"100.701927386","94.880503967",28.3,41.6
"Olson, Matt","621566","2023","720","54",23.2,14.4,31,16.4,55.5,"104.825276757","97.314084392",28.4,46.8
"Carroll, Corbin","682998","2023","645","25",19.4,8.8,32.7,7.6,40.9,"100.972563211","94.780604736",21.5,45.8
"Arcia, Orlando","606115","2023","533","17",19.1,7.3,30.6,6.9,41.1,"99.189217927","93.735384508",24.3,46.2
"Ozuna, Marcell","542303","2023","592","40",22.6,9.6,34.9,16.6,49,"103.257673232","96.232240934",26.7,48.4
"Hoerner, Nico","663538","2023","688","9",12.1,7.1,33.2,1.8,33.4,"97.320472852","92.695131651",12.4,45.6
"Edman, Tommy","669242","2023","528","13",15.9,6.6,27.9,5,38.8,"99.456717727","93.865892803",16.1,45.7
"Stephenson, Tyler","663886","2023","517","13",26.1,9.1,33.5,7.6,43.5,"100.030744788","94.357020636",28.4,42.5
"LeMahieu, DJ","518934","2023","562","15",22.2,10.7,31.6,5.9,43,"100.265359786","94.32212244",19.7,39.2
"Verdugo, Alex","657077","2023","602","13",15.4,7.5,35.4,5,37.6,"99.116993728","93.701176864",15.6,40.9
